DateTime;Open;High;Low;Close;Volume
2015-11-13;336.86;343.75;326.22;338.53;29935.630229709015
2015-11-14;338.54;340.72;328.5;333.37;20324.626769260223
2015-11-15;333.39;336.6;315.0;320.52;31597.167862849823
2015-11-16;320.8;335.0;315.2;332.1;25747.01423645007
2015-11-17;332.16;342.5;331.05;336.29;27167.97701985966
2015-11-18;336.29;338.99;327.91;335.94;15625.538319710211
2015-11-19;335.83;336.57;324.02;326.5;18932.5528605301
2015-11-20;326.49;326.77;309.46;322.2;30160.010247538885
2015-11-21;322.29;329.35;318.95;327.84;10478.855716170083
2015-11-22;327.84;327.85;320.36;324.66;7051.9099903400665
2015-11-23;324.66;327.5;320.9;323.63;7775.6751574101745
2015-11-24;323.65;323.77;315.55;320.1;9618.010490050066
2015-11-25;320.49;332.43;316.02;329.85;20618.165699520017
2015-11-26;329.85;369.9;329.35;354.0;81494.12980638833
2015-11-27;354.0;367.0;348.18;358.9;34902.85886151989
2015-11-28;359.0;362.44;351.0;358.6;19427.67778839941
2015-11-29;358.54;376.0;355.17;373.89;25800.689517829585
2015-11-30;373.84;384.99;368.11;376.88;47495.85537836257
2015-12-01;376.89;379.99;353.1;362.59;44101.91747801963
2015-12-02;362.59;363.22;346.13;359.12;31554.77112147918
2015-12-03;359.12;371.5;352.25;360.53;27383.799896089593
2015-12-04;360.62;364.4;354.31;363.17;14651.487495970036
2015-12-05;363.04;395.0;362.08;389.79;46142.29540095569
2015-12-06;390.01;407.57;386.01;390.6;60599.92466398972
2015-12-07;390.88;404.24;384.53;396.7;33608.011666119084
2015-12-08;397.0;422.39;388.37;422.0;33197.623229099554
2015-12-09;422.0;426.59;405.0;418.73;52055.32070854029
2015-12-10;418.86;421.82;411.09;414.94;21325.443675719904
2015-12-11;414.88;458.99;414.8;457.0;75656.53043328003
2015-12-12;456.32;475.04;402.5;435.61;104706.95104447857
2015-12-13;435.61;443.92;415.24;433.36;33630.91541409934
2015-12-14;432.91;450.0;427.3;442.59;27298.367131309693
2015-12-15;442.55;467.29;442.51;466.01;41307.2211420201
2015-12-16;466.43;469.99;440.0;454.94;67047.01540226
2015-12-17;454.94;458.56;446.21;455.57;17868.855585929912
2015-12-18;455.71;466.6;450.1;463.52;27050.451544759482
2015-12-19;463.51;467.0;452.0;462.44;21223.579722080114
2015-12-20;462.45;462.78;431.5;442.62;46323.16552624997
2015-12-21;442.62;447.45;424.37;437.52;43203.805052199605
2015-12-22;437.81;443.64;433.0;435.65;18516.120848540086
2015-12-23;435.05;445.76;433.62;442.62;16464.786777450066
2015-12-24;442.62;459.1;442.45;456.13;19865.73831943
2015-12-25;456.02;460.0;445.0;455.47;15176.728026320183
2015-12-26;455.3;460.05;405.5;416.51;96491.88017170315
2015-12-27;416.35;424.89;407.0;422.32;27798.815510729753
2015-12-28;421.82;429.0;417.01;420.24;24284.330076609436
2015-12-29;420.11;433.55;418.01;431.79;22073.56319970867
2015-12-30;431.77;434.0;420.0;423.55;22247.59645833987
2015-12-31;423.51;432.59;412.5;429.02;21403.65928212969
2016-01-01;429.17;436.49;426.26;433.98;13077.668908090154
2016-01-02;433.89;435.8;430.0;432.7;6347.952930870056
2016-01-03;432.66;433.07;421.73;428.39;19201.833363170073
2016-01-04;428.63;435.67;426.97;432.9;12950.38203246012
2016-01-05;432.61;434.91;427.91;431.84;11172.003817340024
2016-01-06;431.99;432.24;425.03;428.89;9440.11476438009
2016-01-07;428.2;462.0;427.11;458.78;55448.62348451022
2016-01-08;458.41;465.0;446.55;454.0;29967.953086949874
2016-01-09;454.0;456.01;447.07;449.23;8950.47934716013
2016-01-10;449.23;450.26;441.01;449.35;13778.255966589966
2016-01-11;449.34;452.49;443.42;449.26;14814.611919910152
2016-01-12;449.26;449.98;427.01;432.04;20739.28807916013
2016-01-13;431.99;436.36;416.0;431.11;33154.90771328927
2016-01-14;431.09;435.0;426.0;429.25;13304.537786190007
2016-01-15;429.27;429.43;357.02;359.16;123890.27071976822
2016-01-16;359.16;392.5;352.5;388.4;74062.26019306092
2016-01-17;388.43;393.31;378.76;382.02;20715.0043007396
2016-01-18;382.11;390.0;375.01;387.1;19469.044043689875
2016-01-19;387.04;388.61;377.41;378.93;17187.636038820216
2016-01-20;378.94;428.0;375.01;419.55;82802.50152887062
2016-01-21;419.65;424.57;405.0;411.01;29020.246475599495
